CITY,TOWN,DISTRICT,SOURCE,UPDATED_AT,NOTES
四日市市,ときわ１丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,ときわ２丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,ときわ３丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,ときわ４丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,ときわ５丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀町,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀南町,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀１丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀２丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,赤堀３丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,城東町,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,伊倉,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,伊倉１丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,伊倉２丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,伊倉３丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,久保田,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,久保田１丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,久保田２丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,芝田,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,芝田１丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,芝田２丁目,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,大字赤堀,常磐地区,Japan Post,2026-07-22,常磐地区主要町域
四日市市,大字日永,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永１丁目,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永２丁目,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永３丁目,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永４丁目,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永５丁目,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永東,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,日永西,日永地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字塩浜,塩浜地区,Japan Post,2026-07-22,2区管内町域
四日市市,塩浜,塩浜地区,Japan Post,2026-07-22,2区管内町域
四日市市,塩浜本町,塩浜地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字四郷,四郷地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字内部,内部地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字河原田,河原田地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字水沢,水沢地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字楠,楠地区,Japan Post,2026-07-22,2区管内町域
四日市市,大字小山田,小山田地区,Japan Post,2026-07-22,2区管内町域
四日市市,山田町,小山田地区,Japan Post,2026-07-22,2区管内町域
四日市市,富田,富田地区,Japan Post,2026-07-22,3区内他地区
四日市市,富田一色町,富田地区,Japan Post,2026-07-22,3区内他地区
四日市市,川島町,川島地区,Japan Post,2026-07-22,3区内他地区
四日市市,神前町,神前地区,Japan Post,2026-07-22,3区内他地区
四日市市,桜町,桜地区,Japan Post,2026-07-22,3区内他地区
四日市市,生桑町,三重地区,Japan Post,2026-07-22,3区内他地区
四日市市,県町,県地区,Japan Post,2026-07-22,3区内他地区
四日市市,平尾町,八郷地区,Japan Post,2026-07-22,3区内他地区
四日市市,朝明町,下野地区,Japan Post,2026-07-22,3区内他地区
四日市市,大矢知町,大矢知地区,Japan Post,2026-07-22,3区内他地区
四日市市,小牧町,保々地区,Japan Post,2026-07-22,3区内他地区
四日市市,阿倉川町,海蔵地区,Japan Post,2026-07-22,3区内他地区
四日市市,東新町,橋北地区,Japan Post,2026-07-22,3区内他地区
四日市市,安島,中部地区,Japan Post,2026-07-22,3区内他地区
